A_vista	Sight_reading
Akademia	Academy
Akompaniament	Accompaniment
Akompaniator	Accompanist
Akompaniowac	Accompany_(-ied)
Akord	Chord
Album	Album
Aleatoryczny	Aleatoric
Aleatoryzm	Aleatoric_music
Alt_altowy	Alto
Alteracja	Alteration
Altowiolista	Violist_viola_player
Altowka	Viola
Antyfona	Antiphon
Aranzacja	Arrangement
Aria	Aria
Artykulacja	Articulation
Atonalnosc	Atonality
Augumentacja	Augmentation
Balet	Ballet
Ballada	Ballad
Barok_barokowy	Baroque
Barwa	Timbre
Bas_(glos)	Basso_Bass
Bemol	Flat
Bebny	Drums
Cent	Cent
Chaconne_ciaconna	Chaconne
Choral	Chorale
Chor	Choir
Chromatyczny	Chromatic
Cyfrowany_Bas	Figured_bass
Czestotliwosc	Frequency
Czesc_(koncertu)	Movement
Czysta_(kwwarta_kwinta)	Perfect_(fourth_fifth)
D	
Diatoniczny	Diatonic
Dominanta_dominantowy	Dominant
Duet	Duet
Duet	Duet
Durowy_majorowy	Major
Dwojkowy_rytm	Duple
Dyminucja	Diminution
Dynamika	Dynamics
Dyrygent	Conductor
Dyrygowac	Conduct_(-ed)
Dysonans	Dissonance
Dzwon	Bell
Dzwiek	Pitch
Dzwiek	Sound
Dzwiek_obcy	Nonchord_tone	
Ekspozycja	Exposition
Elektroniczna_muzyka	Electronic_music
Enharmonia	Enharmonic
Etiuda	Etude
Etnomuzykologia	Ethnomusicology
Fagot	Bassoon
Falset	Falsetto
Falszowac	To_be_out_of_tune
Fantazja	Fantasia
Festiwal	Festival
Filharmonia	Philharmony
Filharmonia_(budynek)	Concert_hall
Filharmonia_(instytucja)	Philharmonic
Flet_piccolo	Piccolo
Flet_poprzeczny	Flute
Flet_prosty	Recorder
Fonograf	Phonograph
Forma	Form
Forma_dwuczesciowa	Binary_form
Forma_trzyczesciowa	Ternary_form
Fortepian	Piano
Fortepian	Piano
Fortepian	
Fraza	Phrase
Frazowanie	Phrasing
Fuga	Fugue
Gatunek	Genre
Gitara	Guitar
Glos	Voice
Glosnosc	Loudness
Gong	Gong
Grac	Play_(-ed)
Harfa	Harp
Harmonia	Harmony
Harmoniczny	Harmonic
Heksahord	Hexachord
Hemiola	Hemiola
Humoreska	Humoresque
Hymn	Hymn
Hymn	Hymn
Imitacja	Imitation
Improwizacja	Improvisation
Instrument	Instrument
Instrumentacja	Instrumentation
Instrumenty_dete_blaszane	Brass_instruments
Instrumenty_dete_drewniane	Woodwind_instrument_woodwinds
Instrumenty_smyczkowe	String_instruments_strings
Instrumenty_strunowe	String_instruments
Interwal	Interval
Intonacja	Intonation
Inwersja	Inversion
Izorytmia	Isorythm
Jednostka_rytmiczna	Rhythmic_unit
Kadencja_(improwizowane_zakończenie_utworu)	Cadenza
Kadencja_(pochod_akordow)	Cadence
Kameralny	Chamber
Kanon	Canon
Kantata	Cantata
Kaprys	Caprice
Kasownik	Natural_sign
Kastrat	Castrato
Klarnet	Clarinet
Klaskanie	Clapping
Klawesyn	Harpsichord
Klawiatura	Keyboard
Klawikord	Clavichord
Klucz	Clef
Kolo_kwintowe	Circle_of_fifths
Kompozycja	Composition
Kompozytor	Composer
Koncert/Koncert(utwor)	Concert/Concerto
Konserwatorium	Conservatory
Konsonans	Consonance
Kontrabas	Double_bass
Kontrafagot	Contrabassoon
Kontrapunkt	Counterpoint
Kornet	Cornet
Kotly	Timpani
Krok	Step
Krzyzyk	Sharp
Ksztalcenie_sluchu	Aural_skills
Ksztalcenie_sluchu	Ear_training
Kwarta	Fourth
Kwartet	Quartet
Kwinta	Fifth
Kwinta_czysta	Diapente
Kwintet	Quintet
Legenda	Legend
Leitmotiv	Leitmotif
Ligatura	Ligature
Lira	Lyre
Lira_korbowa	Hurdy_gurdy_wheel_fiddle
Lutnia	Lute
luk	Tie
Madrygal	Madrigal
Mandolina	Mandolin
Marsz	March
Mazurek	Mazurka
Melodia	Melody
Menuet	Minuet
Menuet	Minuet
Metronom	Metronome
Metrum	Metre
Metrum	Meter
Metrum	Time_signature
Mezzosopran	Mezzo-soprano
Mikrotonowa_muzyka	Microtone_music
Modulacja	Modulation
Molowy_minorowy	Minor
Monofonia	Monophony
Motet	Motet
Motet	Motet
Motyw	Motif
Msza	Mass
Muzyk	Musician
Muzyka	Music
Muzykologia	Musicology
Nagranie	Recording
Napiecie	Tension
Nokturn	Nocturne
Notacja	Notation
Nuta	Note
Nuta_prowadzaca	Leading_note
Nuty	Sheet_music_music_scores
Obnizony_(dzwiek)	Flatted
Oboj	Oboe
Okres	Period
Oktawa	Octave
Opera	Opera
Operetka	Operetta
Operetka	Operetta
Oratorium	Oratorio
Oratorium	Oratorio
Organista	Organist
Organy	Organ
Organy	Organ
Orkiestra	Orchestra
Orkiestracja	Orchestration
Ornament	Ornament
Paralela	Parallel_key
Partytura	Sheet_music
Partytura_nuty	Sheet_music
Parzyste_metrum	Even_meter
Pasja	Passion
Pasja	Passion
Pentatonika	Pentatonic
Pianino	Piano
Pianino_fortepian	Piano
Piesń	Song
Pieciolinia	Staff_stave
Pikardyjska_tercja	Picardy_third
Piosenka_piesń	Song
Piszczalka	Pipe
Pitagorejski_komat	Pythagorean_comma
Pitagorejski_stroj	Pythagorean_tuning
Podwyzszony	Sharp
Polifonia	Polyphony
Polonez	Polonaise
Progresja	Chord_progression
Proba	Rehearsal
Przednutka	Gracenote
Puls	Pulse
Puzon	Trombone
Rapsodia	Rhapsody
Recytatyw	Recitative
Regal	Regal
Rejestr	Register
Relaksacja	Relaxation
Rezonans	Resonance
Rondo	Rondo
Rozwiazanie_akordu	Resolution
Rozek_angielski	Cor_anglais
Rownolegly	Parallel
Rytm	Rhythm
Saksofon	Saxophone
Sarabanda	Sarabande
Scena	Scene
Seksta	Sixth
Sekunda	Second
Sekwencja	Sequence
Septyma	Seventh
Serenada	Serenade
Skala_	Scale
Skala_(muzyczna)	Mode
Skladowa_harmonicza	Partial
Skok	Skip
Skrzypce	Violin_fiddle
skrzypek	Violinist_fiddler
Sluch	Hearing
Sluch_absolutny	Absolute_pitch
Smyczek	Bow
Solfez	Solfege
Solista	Soloist
Sopran	Soprano
Sprzezenie_zwrotne	Feedback
Stroic	Tune_(-ed)
Stroic	Tune_(-ed)
Strojenie	Tuning
Stroj_muzyczny	Temperament
Struna	String
Subdominanta	Subdominant
Suita	Suite
Suita	Suite
Symfonia	Symphony
Synkopa	Syncope
Synkopowanie	Syncopation
Szereg_harmoniczny	Harmonic_series
spiew_gregoriański	Plainsong
spiewac	Sing_(sang_sung)
spiewak	Singer
Tabulatura	Tabulature
Takt	Bar
Takt	Measure
Talerz_(instrument)	Cymbal
Taniec	Dance
Tembr_barwa	Timbre
Tempo	Tempo
Tenor	Tenor
Tercja	Third
Tercjowy	Tertian
Tetrachord	Tetrachord
Tlumik	Mute
Tonacja	Key
Tonacja_rownolegla	Parallel_key
Tonika	Tonic
Tonikalizacja	Tonicization
Transponujacy	Transposing
Transpozycja	Transposition
Trabka	Trumpet
Trebacz	Trumpeter
Trio	Trio
Trojdzwiek	Triad
Trojkat	Triangle
Tryl	Trill
Tryplet	Triplet
Tryton	Tritone
Tuba	Tuba
Uklad_rozlegly	Spread_voicing
Uklad_rozlegly	Open_voicing
Uklad_skupiony	Close_harmony
Uklad_skupiony	Narrow_voicing
Ustnik	Mouthpiece
Utwor	Piece
Walc	Waltz
Waltornia	Horn
Wariacja	Variation
Werbel	Snare_drum
Wilk_(dzwiek)	Wolf_note
Wiolonczela	Cello
wiolonczelista	Cellsit
Wokal	Vocal
Wokalista	Singer
Wokaliza	Vocalise
Wystep	Performance
Wystepowac	Perform_(-ed)
Wyzsza_skladowa_harmoniczna	Overtone
Zakres	Range
Zawor	Piston_valve
Zespol	Band_
Zespol	Ensemble
Zludzenie_sluchowe	Auditory_illusion
Zmniejszony	Diminished
Znak_chromatyczny	Accidental
Znaki_przykluczowe	Key_signature
Zwiekszenie	Augmentation
Zwiekszony	Augmented
